"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2024/10/31","セブン-イレブン/iD","-901","三井住友カード","食費","食料品","","0","QDkdnY5LwL1dQDuCplr6wPe4duBlEcrsz-hhPikqGLc"
"1","2024/10/31","nanaco Apple Pay チャー","-10000","三井住友カード","特別な支出","家具・家電","","0","AImPXVdv4ijtZdkUnf32rnNRGdwmBNW6Od4-sD3J-eg"
"1","2024/10/31","かじ兵衛 大宮店/NFC","-3739","三井住友カード","未分類","未分類","","0","EOl1qWETbHCpGwcSB0W4cL8Shdfnhx8iWuoeLlM4qOg"
"1","2024/10/31","手数料","-110","三菱UFJ銀行","その他","雑費","","0","Fy_HmZL9tUOzBUyAqcbaXHK1y47omszEPdbufcJjkuI"
"1","2024/10/31","カードC1 セブンギンコウATM","300000","三菱UFJ銀行","未分類","未分類","","0","HMex1g7rlbPgxNzJ4ZUAf8Ybs8Nuza-qi0anJcglHvI"
"1","2024/10/30","ラクテンカ-ドサ-ビス","-50687","楽天銀行","現金・カード","カード引き落とし","","0","wEb5jNSGBu6fuvgVVBijvRYY3JT_ndb4SgDEYizNyCM"
"1","2024/10/30","スエタケ シユウヘイ","45000","楽天銀行","未分類","未分類","","0","11Wf9LlaEKGyX0PGcAnyppKCAZpctqH6JEnClw80qdw"
"1","2024/10/30","松屋 南浦和店/iD","-740","三井住友カード","未分類","未分類","","0","DAaZthSXAFx-MUcfpVO2zT-D-2rZmn7GIWjXYwCBEHw"
"1","2024/10/30","セブン-イレブン/iD","-751","三井住友カード","食費","食料品","","0","TCMvVzlvG2DYZGram98Dgzp1UxCh2jqxTHF4WtvktTA"
"1","2024/10/30","セブン-イレブン/iD","-3462","三井住友カード","食費","食料品","","0","XWLbqugP5-yDoVkj9V5enFvMW2OHB_JDpnouOyxFg1c"
"1","2024/10/29","東京電力 電気料金等","-9063","三井住友カード","水道・光熱費","電気代","","0","XV3a4UDLDsVzWoUyCQ9Hy5nE6DBG3ECak9rULRapHfs"
"1","2024/10/29","丸亀製麺 大宮大和田/iD","-2310","三井住友カード","未分類","未分類","","0","eKsrGFSXzQxJuRlTs4c5or0ptoRns2L4psVWXXEnOyc"
"1","2024/10/29","セブン-イレブン/iD","-763","三井住友カード","食費","食料品","","0","iMrNFiKeF-M4CNw1_FZkkOoqkapfqpa-Ar_xiLXy6z8"
"1","2024/10/29","GO(タクシーアプリ)*アプリ配車","-2900","三井住友カード","交通費","タクシー","","0","YkXJ22aBNpszJ3BdWDO9gRbU8egbU-4z9qfWgjsoGxU"
"1","2024/10/29","AmazonPay提携サイト","-6348","三井住友カード","教養・教育","書籍","","0","Wh-gyOKVCSolpVkYq3bdlXe1QdGaREtC_9xaHPGZuqM"
"1","2024/10/29","振込IB2 スエタケ シユウヘイ","-45000","三菱UFJ銀行","未分類","未分類","","0","dfFYY8dmQf7eijECfwoVMAlF43N0iYwqweVstlmQMrQ"
"1","2024/10/29","振込IB1 カ)ビユ-カ-ド","-139605","三菱UFJ銀行","現金・カード","カード引き落とし","","0","Xm59xQsqYyN4QwiHlCGNhgSypk3TxB9y0C_Aq5IvAhI"
"1","2024/10/28","セブン-イレブン/iD","-210","三井住友カード","食費","食料品","","0","uZkrccXEYILTPyK7WA2MD5Fo8J1cpCn06EyGKrU2ZGI"
"1","2024/10/28","モバイルSuica(Apple)","-3000","三井住友カード","通信費","その他通信費","","0","QKGQtaQkVjhqfknYnryNMZG7fZt8_N4t__PyG172n64"
"1","2024/10/28","GOOGLE *GOOGLE ONE (650-253-0000 )","-250","三井住友カード","通信費","情報サービス","","0","gKwKQ9s9SdhyzWG3QgQf93hIuE5jfVF7-d2cbRlEsAM"
"1","2024/10/28","ENEOS-SS","-3000","三井住友カード","自動車","ガソリン","","0","CYB1EB8dotRF7C7HINXbrPayUkWVkDZR5c7xvw4FcMQ"
"1","2024/10/28","手数料","-308","三菱UFJ銀行","その他","雑費","","0","ZaMpeV1zGKA8WstufJ4tjePIB7AidoGKGRLlICNqkNI"
"1","2024/10/28","カードC1","150000","三菱UFJ銀行","未分類","未分類","","0","W-VQTLcKcwQH45zSB_xdB4K4SPWy7B_T7ACZQ073z8g"
"0","2024/10/28","口座振替3 ミツイスミトモカ-ド","-235539","三菱UFJ銀行","現金・カード","カード引き落とし","","1","_aAFINqtfHpmlENZLuUZta0MSeldVE8jBbhNkNWA7-w"
"1","2024/10/28","カードC1 セブンギンコウATM","100000","三菱UFJ銀行","未分類","未分類","","0","89JCdSeIaaTirmvFoD3YFx2LAziaLOUMq8GuUqfbces"
"0","2024/10/28","口座振替3 ペイペイカ-ド","-62582","三菱UFJ銀行","未分類","未分類","","1","eVl57lxgGDUXFYYCKWSBOBs8Un9-9fRRGEfzSorFGOI"
"1","2024/10/28","口座振替3 NSS.ボスジムジ","-5720","三菱UFJ銀行","未分類","未分類","","0","oRaunK2AVQ96jkf5MVheZknZj6Z1DVBS0YW07UmC4_Q"
"1","2024/10/27","仕事、生活をラクラク管理 超便利! Notionテクニック 販売: Amazon.co.jp","-1870","Amazon.co.jp","未分類","未分類","","0","tdBxs8kVZDWUNwPWkQJAOrFkMcm00KKtY5o4GBhWPPA"
"1","2024/10/27","コメダ珈琲店 浦和松木店/iD","-1440","三井住友カード","食費","カフェ","","0","-3NxqE0JUUVhkvMsjxzbqo_VCIRI8HBxuVYG1-g6Dvk"
"1","2024/10/27","セブン-イレブン/iD","-300","三井住友カード","食費","食料品","","0","4Zo9h26VFs7spR6htX3c2is36moAdpzjLUMo-r8Fmw4"
"1","2024/10/27","ソフトバンクワイモバイルまとめて支払い","-1026","三井住友カード","通信費","携帯電話","","0","00NIiPpM-ZUo7-KzkaHoHrTzYaUOmH5OrngafA0oBPU"
