"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2025/02/28","楽天銀行 フ-ガ支店 普通預金 3378281 西野 美紀(依頼人名:スエタケ シユウヘイ 内容: 振込予定日:2025年02月28日 管理番号:20250228-31523107)","-30000","楽天銀行","その他","返済","","0","1oO5xWXj6I-SFWKds1knBXa70d7C7srtA2_k_SPJG-E"
"1","2025/02/28","Suicaチャージ(楽天ペイ)","-1000","楽天カード","現金・カード","電子マネー","","0","vmu0c3EfcwM9iXNskoaF4SEF5Rn594mItQK8nIk75_M"
"1","2025/02/28","スクエア ミシエル","-1720","楽天カード","その他","雑費","","0","1_vc9yUyXNgAb-R9tRUs8pd07_AcP9wErXptPLwN1yQ"
"1","2025/02/28","コカコ-ラジハンキクイツクペ","-150","楽天カード","食費","食料品","","0","jk9UQz-VSlYAaB0q1yWcY4YUNBSZ3D0g_PoEPhp3hks"
"1","2025/02/28","フアミリーマート","-580","楽天カード","食費","食料品","","0","K5SIll1uYQsH1O0R61LfK0E9mL47EsI4YkgoguwZhQU"
"1","2025/02/28","セブン-イレブン","-633","楽天カード","食費","食料品","","0","QiOfTcu0vMAvQrlYsroyOm5RlgFxNrGRzOu2A_lL1EA"
"1","2025/02/28","サトウアツシ","-2980","楽天カード","通信費","情報サービス","","0","1KvcCv_Jb3WWvwu8BjgviAkmgLoZqBqlqBJBufAwhA8"
"1","2025/02/28","コモディイイダ 芝原店","-2259","楽天カード","食費","食料品","","0","67beNpeQeKuGX4ZJg_SR07ZKe-ICJJQ_NVnswkXw9w0"
"0","2025/02/27","ラクテンカ-ドサ-ビス","-53944","楽天銀行","現金・カード","カード引き落とし","","1","GGihT19jA8PxM73h4xonseYuZ5zOdntex6CPzVtmssM"
"1","2025/02/27","楽天銀行 フ-ガ支店 普通預金 3378281 西野 美紀(依頼人名:スエタケ シユウヘイ 内容: 管理番号:20250101-29057031)","-20000","楽天銀行","その他","返済","","0","YsAEo26PdOyzLRAxZaQC3sdjdl6_QJRmESzJMJwxY-g"
"1","2025/02/27","回収事務手数料","-275","PayPayカード","その他","雑費","","0","fVD7aMWHo0kVhC0McNfJKDWyM6PXIL468sBMhmynXi0"
"1","2025/02/27","PayPay チャージ","-10000","PayPayカード","現金・カード","電子マネー","","0","t23ndLRMQjFMPz3kFu4xtORB24JbgpTWhIQvLW7mfOQ"
"1","2025/02/27","ビツグエコ- アカバネホンテ","-10000","楽天カード","趣味・娯楽","映画・音楽・ゲーム","","0","tIarTiH8opX_j7lB_SDbPWvaXb7Y8RpBZAkNjo_DqQE"
"1","2025/02/27","APPLE COM BILL","-1500","楽天カード","通信費","その他通信費","","0","FMDHhk4z2YIpiUWD71_NTzUSiG3eaXsMlzELMk-EnCU"
"1","2025/02/27","APPLE COM BILL","-2500","楽天カード","通信費","その他通信費","","0","rtQz8-8s78ltfM9zCf5XFR-Q_7iEkjl4-Oz01_3HLYU"
"1","2025/02/27","APPLE COM BILL","-1000","楽天カード","通信費","その他通信費","","0","kLTop8WY9uQKbQq0q6WanyN9KPZZV5Vkc2typLwVtLo"
"1","2025/02/27","コモディイイダ 芝原店","-3191","楽天カード","食費","食料品","","0","9sMTyzJufMe08OOmMxg_6D0WzUYDx-t0Q-nNa1yPvJs"
"1","2025/02/26","カ-ド手数料(内消費税 ￥25)","-275","楽天銀行","その他","雑費","","0","lL1qX2_FP6ovNT3krHOqxalI60LM00Vz0MMgRPDGk-s"
"1","2025/02/26","カ-ド出金 Enet 174943302726","-10000","楽天銀行","現金・カード","ATM引き出し","","0","GJcA6q8mhfznpJDYDqeD7Y6RkVy8bjFFnkoCo0kItgs"
"1","2025/02/26","カ-ド手数料(内消費税 ￥25)","-275","楽天銀行","その他","雑費","","0","z7m4aB7QkDFsmZ39FywtEmE8vA2rsKpJT5g-KrJ7frk"
"1","2025/02/26","カ-ド出金 Enet 174943302710","-30000","楽天銀行","現金・カード","ATM引き出し","","0","hS60S2SFgVA9l77Ywfqh5zctd--EQNf5RCtB5qn08cA"
"1","2025/02/26","PayPay 請求書払い","-16667","PayPayカード","水道・光熱費","水道代","","0","fl1RfCrT9tUb2ArKD3zrYI9ac8maShpqGc88E9RhSJI"
"1","2025/02/26","セブン-イレブン","-203","楽天カード","食費","食料品","","0","eKSA5UgYPvnYP0fc-SxfHgUsCSNUKuSR5k62RMNWU9I"
"1","2025/02/26","セブン-イレブン","-108","楽天カード","食費","食料品","","0","XxIaeLG0gWdPlIibpr-cNEJxpg4ApYgNf9M5q6fzPZ8"
"1","2025/02/26","ジヤパンミ-トヒガシウラワ","-1684","楽天カード","食費","食料品","","0","zGIgyKs1Q15WraQaoyHGs0FmjUOrB1_qTCPFqAtMuzs"
